algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Mergesort,30000,3,1,408810,873588,0.001869
Heapsort,30000,3,1,779644,1259463,0.002076
Quicksort,30000,3,1,600154,289092,0.001491
Introsort,30000,3,1,542116,241552,0.001392
Contagem,30000,3,1,29999,60008,0.000544
Balde,30000,3,1,61152,121161,0.001836
Radixsort C.,30000,3,1,0,540000,0.001457
Radixsort B.,30000,3,1,0,540000,0.006880
Bolha,30000,3,2,449932025,676798338,0.936491
Coquetel,30000,3,2,338121597,676798338,0.744959
Selecao,30000,3,2,449985000,89979,0.232942
Insercao,30000,3,2,225629429,225659444,0.075856
Shellsort,30000,3,2,664128,1002589,0.002147
Mergesort,30000,3,2,408649,873503,0.001924
Heapsort,30000,3,2,779648,1259469,0.002067
Quicksort,30000,3,2,591053,286263,0.001472
Introsort,30000,3,2,534366,240444,0.001434
Contagem,30000,3,2,29999,60006,0.000543
Balde,30000,3,2,61279,121286,0.001824
Radixsort C.,30000,3,2,0,540000,0.001490
Radixsort B.,30000,3,2,0,540000,0.006917
Bolha,30000,3,3,449981172,672646068,0.934200
Coquetel,30000,3,3,336364725,672646068,0.747242
Selecao,30000,3,3,449985000,89967,0.236858
Insercao,30000,3,3,224245344,224275354,0.078457
Shellsort,30000,3,3,664205,1002644,0.002246
Mergesort,30000,3,3,408505,873281,0.001928
Heapsort,30000,3,3,779900,1259847,0.002126
Quicksort,30000,3,3,580646,293132,0.001518
Introsort,30000,3,3,519172,240892,0.001469
Contagem,30000,3,3,29999,60010,0.000554
Balde,30000,3,3,61188,121199,0.001863
Radixsort C.,30000,3,3,0,540000,0.001531
Radixsort B.,30000,3,3,0,540000,0.007031
Bolha,40000,1,1,39999,0,0.000012
Coquetel,40000,1,1,39999,0,0.000012
Selecao,40000,1,1,799980000,0,0.417724
Insercao,40000,1,1,39999,79998,0.000023
Shellsort,40000,1,1,444285,888570,0.000408
Mergesort,40000,1,1,298432,912896,0.000466
Heapsort,40000,1,1,1130406,1815606,0.001852
Quicksort,40000,1,1,528189,100473,0.000318
Introsort,40000,1,1,528189,100473,0.000295
Contagem,40000,1,1,39999,119999,0.000098
Balde,40000,1,1,79999,199999,0.001472
Radixsort C.,40000,1,1,0,720000,0.002071
Radixsort B.,40000,1,1,0,720000,0.007150
Bolha,40000,1,2,39999,0,0.000012
Coquetel,40000,1,2,39999,0,0.000012
Selecao,40000,1,2,799980000,0,0.419319
Insercao,40000,1,2,39999,79998,0.000023
Shellsort,40000,1,2,444285,888570,0.000405
Mergesort,40000,1,2,298432,912896,0.000468
Heapsort,40000,1,2,1130406,1815606,0.001770
Quicksort,40000,1,2,528189,100473,0.000320
Introsort,40000,1,2,528189,100473,0.000292
Contagem,40000,1,2,39999,119999,0.000100
Balde,40000,1,2,79999,199999,0.001471
Radixsort C.,40000,1,2,0,720000,0.002096
Radixsort B.,40000,1,2,0,720000,0.007072
Bolha,40000,1,3,39999,0,0.000012
Coquetel,40000,1,3,39999,0,0.000012
Selecao,40000,1,3,799980000,0,0.413463
Insercao,40000,1,3,39999,79998,0.000022
