algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo_ms
Bolha,2500,1,1,3123750,0,1.498341
Bolha c/ F.,2500,1,1,2499,0,0.001886
Coquetel,2500,1,1,2499,0,0.002864
Selecao,2500,1,1,3123750,0,1.374231
Insercao,2500,1,1,2499,4998,0.002375
Shellsort,2500,1,1,19521,39042,0.015017
Mergesort,2500,1,1,13652,42056,0.025353
Quicksort,2500,1,1,48083,96420,0.137381
Heapsort,2500,1,1,50630,83442,0.110911
Contagem,2500,1,1,2499,7499,0.006286
Balde,2500,1,1,4999,12499,0.063976
Radixsort C.,2500,1,1,0,45000,0.166505
Radixsort B.,2500,1,1,0,45000,0.307099
Bolha,2500,1,2,3123750,0,1.501205
Bolha c/ F.,2500,1,2,2499,0,0.001956
Coquetel,2500,1,2,2499,0,0.002794
Selecao,2500,1,2,3123750,0,1.377094
Insercao,2500,1,2,2499,4998,0.002864
Shellsort,2500,1,2,19521,39042,0.015155
Mergesort,2500,1,2,13652,42056,0.025073
Quicksort,2500,1,2,48083,96420,0.137521
Heapsort,2500,1,2,50630,83442,0.110981
Contagem,2500,1,2,2499,7499,0.006216
Balde,2500,1,2,4999,12499,0.095405
Radixsort C.,2500,1,2,0,45000,0.166157
Radixsort B.,2500,1,2,0,45000,0.315062
Bolha,2500,1,3,3123750,0,1.486050
Bolha c/ F.,2500,1,3,2499,0,0.001886
Coquetel,2500,1,3,2499,0,0.002374
Selecao,2500,1,3,3123750,0,1.352300
Insercao,2500,1,3,2499,4998,0.002793
Shellsort,2500,1,3,19521,39042,0.015226
Mergesort,2500,1,3,13652,42056,0.026611
Quicksort,2500,1,3,48083,96420,0.137661
Heapsort,2500,1,3,50630,83442,0.110631
Contagem,2500,1,3,2499,7499,0.006146
Balde,2500,1,3,4999,12499,0.063906
Radixsort C.,2500,1,3,0,45000,0.166296
Radixsort B.,2500,1,3,0,45000,0.314853
Bolha,2500,2,1,3123750,9371250,5.306880
Bolha c/ F.,2500,2,1,3123750,9371250,5.297311
Coquetel,2500,2,1,3123750,9371250,5.279152
Selecao,2500,2,1,3123750,3750,1.846998
Insercao,2500,2,1,3123750,3128748,1.487306
Shellsort,2500,2,1,27096,47788,0.026750
Mergesort,2500,2,1,14752,56808,0.032477
Quicksort,2500,2,1,48389,96902,0.135077
Heapsort,2500,2,1,43462,72690,0.110910
Contagem,2500,2,1,2499,5000,0.006216
Balde,2500,2,1,4999,10000,0.052033
Radixsort C.,2500,2,1,0,45000,0.169998
Radixsort B.,2500,2,1,0,45000,0.307449
Bolha,2500,2,2,3123750,9371250,5.340056
Bolha c/ F.,2500,2,2,3123750,9371250,5.320569
Coquetel,2500,2,2,3123750,9371250,5.277756
Selecao,2500,2,2,3123750,3750,1.717439
Insercao,2500,2,2,3123750,3128748,1.491148
Shellsort,2500,2,2,27096,47788,0.027169
Mergesort,2500,2,2,14752,56808,0.033384
Quicksort,2500,2,2,48389,96902,0.135426
Heapsort,2500,2,2,43462,72690,0.112237
Contagem,2500,2,2,2499,5000,0.006635
Balde,2500,2,2,4999,10000,0.052592
Radixsort C.,2500,2,2,0,45000,0.165598
Radixsort B.,2500,2,2,0,45000,0.305703
Bolha,2500,2,3,3123750,9371250,5.219646
Bolha c/ F.,2500,2,3,3123750,9371250,5.221043
Coquetel,2500,2,3,3123750,9371250,5.273076
Selecao,2500,2,3,3123750,3750,1.668689
Insercao,2500,2,3,3123750,3128748,1.490868
Shellsort,2500,2,3,27096,47788,0.027868
Mergesort,2500,2,3,14752,56808,0.033804
Quicksort,2500,2,3,48389,96902,0.131026
Heapsort,2500,2,3,43462,72690,0.114542
Contagem,2500,2,3,2499,5000,0.006775
Balde,2500,2,3,4999,10000,0.054268
Radixsort C.,2500,2,3,0,45000,0.165597
Radixsort B.,2500,2,3,0,45000,0.307309
Bolha,2500,3,1,3123750,4759491,4.291851
Bolha c/ F.,2500,3,1,3123425,4759491,3.981609
Coquetel,2500,3,1,2362989,4759491,3.645386
Selecao,2500,3,1,3123750,7485,1.567277
Insercao,2500,3,1,1588989,1591495,0.767365
Shellsort,2500,3,1,38648,59305,0.131165
Mergesort,2500,3,1,25091,54799,0.121107
Quicksort,2500,3,1,52264,103824,0.176842
Heapsort,2500,3,1,47140,78207,0.150372
Contagem,2500,3,1,2499,5007,0.019696
Balde,2500,3,1,5110,10118,0.098828
Radixsort C.,2500,3,1,0,45000,0.172792
Radixsort B.,2500,3,1,0,45000,0.308916
Bolha,2500,3,2,3123750,4759491,4.292969
Bolha c/ F.,2500,3,2,3123425,4759491,3.980631
Coquetel,2500,3,2,2362989,4759491,3.652439
Selecao,2500,3,2,3123750,7485,1.565531
Insercao,2500,3,2,1588989,1591495,0.758774
Shellsort,2500,3,2,38648,59305,0.130886
Mergesort,2500,3,2,25091,54799,0.117406
Quicksort,2500,3,2,52264,103824,0.175935
Heapsort,2500,3,2,47140,78207,0.157356
Contagem,2500,3,2,2499,5007,0.019067
Balde,2500,3,2,5110,10118,0.098758
Radixsort C.,2500,3,2,0,45000,0.172931
Radixsort B.,2500,3,2,0,45000,0.309474
Bolha,2500,3,3,3123750,4759491,4.984694
Bolha c/ F.,2500,3,3,3123425,4759491,4.109701
Coquetel,2500,3,3,2362989,4759491,3.925595
Selecao,2500,3,3,3123750,7485,1.574541
Insercao,2500,3,3,1588989,1591495,0.771975
Shellsort,2500,3,3,38648,59305,0.130956
Mergesort,2500,3,3,25091,54799,0.113775
Quicksort,2500,3,3,52264,103824,0.188507
Heapsort,2500,3,3,47140,78207,0.150233
Contagem,2500,3,3,2499,5007,0.018299
Balde,2500,3,3,5110,10118,0.108397
Radixsort C.,2500,3,3,0,45000,0.182709
Radixsort B.,2500,3,3,0,45000,0.303119
Bolha,3000,1,1,4498500,0,2.152072
Bolha c/ F.,3000,1,1,2999,0,0.001956
Coquetel,3000,1,1,2999,0,0.003283
Selecao,3000,1,1,4498500,0,1.967547
Insercao,3000,1,1,2999,5998,0.002863
Shellsort,3000,1,1,24021,48042,0.018090
Mergesort,3000,1,1,16828,51732,0.030941
Quicksort,3000,1,1,69087,139453,0.156379
Heapsort,3000,1,1,62506,102756,0.135915
Contagem,3000,1,1,2999,8999,0.007054
Balde,3000,1,1,5999,14999,0.076268
Radixsort C.,3000,1,1,0,54000,0.207433
Radixsort B.,3000,1,1,0,54000,0.367793
Bolha,3000,1,2,4498500,0,2.153190
Bolha c/ F.,3000,1,2,2999,0,0.001886
Coquetel,3000,1,2,2999,0,0.002863
Selecao,3000,1,2,4498500,0,1.942683
Insercao,3000,1,2,2999,5998,0.002793
Shellsort,3000,1,2,24021,48042,0.017880
Mergesort,3000,1,2,16828,51732,0.031499
Quicksort,3000,1,2,69087,139453,0.157007
Heapsort,3000,1,2,62506,102756,0.138080
Contagem,3000,1,2,2999,8999,0.007194
Balde,3000,1,2,5999,14999,0.084650
Radixsort C.,3000,1,2,0,54000,0.198494
