algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Bolha,20000,2,3,199975122,300511896,0.394195
Coquetel,20000,2,3,150890905,300511896,0.348475
Seleção,20000,2,3,199990000,59973,0.091329
Inserção,20000,2,3,100190619,100210630,0.036853
Shellsort,20000,2,3,418474,632528,0.001384
Mergesort,20000,2,3,260918,559143,0.001149
Heapsort,20000,2,3,496778,805164,0.001473
Quicksort,20000,2,3,384878,195521,0.000885
Introsort,20000,2,3,339994,158248,0.000898
Contagem,20000,2,3,19999,40007,0.000376
Balde,20000,2,3,40750,80758,0.000894
Radixsort C.,20000,2,3,0,360000,0.001468
Radixsort B.,20000,2,3,0,360000,0.00348
Bolha,25000,0,1,24999,0,7e-06
Coquetel,25000,0,1,24999,0,1.3e-05
Seleção,25000,0,1,312487500,0,0.141403
Inserção,25000,0,1,24999,49998,1.8e-05
Shellsort,25000,0,1,264285,528570,0.000247
Mergesort,25000,0,1,178756,545988,0.000245
Heapsort,25000,0,1,672910,1084362,0.001296
Quicksort,25000,0,1,304093,60233,0.00014
Introsort,25000,0,1,304093,60233,0.000142
Contagem,25000,0,1,24999,74999,7.7e-05
Balde,25000,0,1,49999,124999,0.00068
Radixsort C.,25000,0,1,0,450000,0.001689
Radixsort B.,25000,0,1,0,450000,0.004108
Bolha,25000,0,2,24999,0,7e-06
Coquetel,25000,0,2,24999,0,1.3e-05
Seleção,25000,0,2,312487500,0,0.132007
Inserção,25000,0,2,24999,49998,1.8e-05
Shellsort,25000,0,2,264285,528570,0.000247
Mergesort,25000,0,2,178756,545988,0.000245
Heapsort,25000,0,2,672910,1084362,0.001282
Quicksort,25000,0,2,304093,60233,0.000141
Introsort,25000,0,2,304093,60233,0.000141
Contagem,25000,0,2,24999,74999,8.2e-05
Balde,25000,0,2,49999,124999,0.000681
Radixsort C.,25000,0,2,0,450000,0.002397
Radixsort B.,25000,0,2,0,450000,0.004159
Bolha,25000,0,3,24999,0,7e-06
Coquetel,25000,0,3,24999,0,1.3e-05
Seleção,25000,0,3,312487500,0,0.131875
Inserção,25000,0,3,24999,49998,1.8e-05
Shellsort,25000,0,3,264285,528570,0.000247
Mergesort,25000,0,3,178756,545988,0.000243
Heapsort,25000,0,3,672910,1084362,0.001289
Quicksort,25000,0,3,304093,60233,0.00014
Introsort,25000,0,3,304093,60233,0.000146
Contagem,25000,0,3,24999,74999,7.8e-05
Balde,25000,0,3,49999,124999,0.000679
Radixsort C.,25000,0,3,0,450000,0.001685
Radixsort B.,25000,0,3,0,450000,0.003883
Bolha,25000,1,1,312487500,937462500,0.529216
Coquetel,25000,1,1,312487500,937462500,0.523578
Seleção,25000,1,1,312487500,37500,0.128729
Inserção,25000,1,1,312487500,312537498,0.115582
Shellsort,25000,1,1,356593,632132,0.000338
Mergesort,25000,1,1,188476,734464,0.000428
Heapsort,25000,1,1,603174,979758,0.001286
Quicksort,25000,1,1,480570,110476,0.000253
Introsort,25000,1,1,648767,119311,0.000325
Contagem,25000,1,1,24999,50000,7.8e-05
Balde,25000,1,1,49999,100000,0.000873
Radixsort C.,25000,1,1,0,450000,0.001681
Radixsort B.,25000,1,1,0,450000,0.004255
Bolha,25000,1,2,312487500,937462500,0.529365
Coquetel,25000,1,2,312487500,937462500,0.523442
Seleção,25000,1,2,312487500,37500,0.128834
Inserção,25000,1,2,312487500,312537498,0.115592
Shellsort,25000,1,2,356593,632132,0.000332
Mergesort,25000,1,2,188476,734464,0.000441
Heapsort,25000,1,2,603174,979758,0.001289
Quicksort,25000,1,2,480570,110476,0.000247
Introsort,25000,1,2,648767,119311,0.000325
Contagem,25000,1,2,24999,50000,7.7e-05
Balde,25000,1,2,49999,100000,0.000927
Radixsort C.,25000,1,2,0,450000,0.001684
Radixsort B.,25000,1,2,0,450000,0.00417
Bolha,25000,1,3,312487500,937462500,0.528943
Coquetel,25000,1,3,312487500,937462500,0.523529
Seleção,25000,1,3,312487500,37500,0.129191
Inserção,25000,1,3,312487500,312537498,0.115567
Shellsort,25000,1,3,356593,632132,0.000336
Mergesort,25000,1,3,188476,734464,0.000438
Heapsort,25000,1,3,603174,979758,0.00128
Quicksort,25000,1,3,480570,110476,0.00025
Introsort,25000,1,3,648767,119311,0.000325
Contagem,25000,1,3,24999,50000,7.8e-05
Balde,25000,1,3,49999,100000,0.00088
Radixsort C.,25000,1,3,0,450000,0.001682
Radixsort B.,25000,1,3,0,450000,0.004247
Bolha,25000,2,1,312474297,466561509,0.683889
Coquetel,25000,2,1,233164190,466561509,0.560895
Seleção,25000,2,1,312487500,74952,0.143032
Inserção,25000,2,1,155545492,155570501,0.057453
Shellsort,25000,2,1,541304,817280,0.001765
Mergesort,25000,2,1,334080,715142,0.001472
Heapsort,25000,2,1,637490,1031232,0.001906
Quicksort,25000,2,1,495898,240713,0.001129
Introsort,25000,2,1,440317,198718,0.001143
Contagem,25000,2,1,24999,50008,0.000485
Balde,25000,2,1,50983,100992,0.001156
Radixsort C.,25000,2,1,0,450000,0.001777
Radixsort B.,25000,2,1,0,450000,0.004724
Bolha,25000,2,2,312452520,469541643,0.665271
Coquetel,25000,2,2,234606060,469541643,0.564772
Seleção,25000,2,2,312487500,74964,0.14304
Inserção,25000,2,2,156538869,156563879,0.057667
Shellsort,25000,2,2,543006,819200,0.00178
Mergesort,25000,2,2,334174,715258,0.001467
Heapsort,25000,2,2,637688,1031529,0.001909
Quicksort,25000,2,2,490684,247729,0.001128
